id,order_id,f_id
1,1001,1
2,1001,3
3,1002,4
4,1002,3
5,1003,6
6,1003,3
7,1004,6
8,1004,3
9,1005,7
10,1005,3
11,1006,1
12,1006,2
13,1006,3
14,1007,4
15,1007,3
16,1008,6
17,1008,3
18,1009,8
19,1009,9
20,1010,10
21,1010,11
22,1010,6
23,1011,1
24,1012,8
25,1013,4
26,1014,4
27,1015,4
28,1016,8
29,1016,9
30,1017,8
31,1017,9
32,1018,10
33,1018,11
34,1019,10
35,1019,11
36,1020,10
37,1020,11
38,1021,1
39,1021,3
40,1022,1
41,1022,3
42,1023,3
43,1023,4
44,1023,5
45,1024,3
46,1024,4
47,1024,5
48,1025,3
49,1025,4
50,1025,5
